	mouse_TATA	mouse_INR
Anxa3	False	True
Anxa4	False	False
Anxa5	False	False
Anxa6	False	False
Anxa7	False	True
Anxa8	False	False
Anxa9	False	False
Aoah	False	False
Aoc1	False	False
Aoc1l1	False	False
Aoc1l2	False	False
Aoc1l3	False	False
Aoc2	False	False
Aoc3	False	True
Aopep	False	False
Aox1	False	False
Aox2	False	False
Aox3	True	False
Aox4	True	False
Ap1ar	False	False
Ap1b1	False	False
Ap1g1	False	False
Ap1g2	False	True
Ap1m1	False	True
Ap1m2	False	False
Ap1s1	False	False
Ap1s2	False	True
Ap1s3	False	False
Ap2a1	False	False
Ap2a2	False	False
Ap2b1	False	False
Ap2m1	False	True
Ap2s1	False	True
Ap3b1	False	False
Ap3b2	False	True
Ap3d1	False	False
Ap3m1	False	False
Ap3m2	False	True
Ap3s1	False	False
Ap3s2	False	False
Ap4b1	False	True
Ap4e1	False	False
Ap4m1	False	False
Ap4s1	False	False
Ap5b1	False	False
Ap5m1	False	False
Ap5s1	False	False
Ap5z1	False	False
Apaf1	False	True
Apba1	False	True
Apba2	False	True
Apba3	False	False
Apbb1	False	False
Apbb1ip	False	True
Apbb2	False	True
Apbb3	False	True
Apc	False	False
Apc2	False	False
Apcdd1	False	True
Apcs	False	True
Apeh	False	True
Apela	False	False
Apex1	False	False
Apex2	False	True
Aph1a	False	False
Aph1b	False	False
Aph1c	False	True
Api5	False	False
Apip	False	True
Aplf	False	True
Apln	True	False
Aplnr	False	False
Aplp1	False	False
Aplp2	False	True
Apmap	False	False
Apoa1	True	True
Apoa2	True	False
Apoa4	True	True
Apoa5	True	True
Apob	True	True
Apobec1	False	False
Apobec2	True	False
Apobec3	False	True
Apobec4	False	False
Apobr	False	False
Apoc1	False	False
Apoc2	False	True
Apoc2l	False	False
Apoc3	True	False
Apoc4	False	False
Apod	True	True
Apoe	True	False
Apof	False	False
Apoh	True	True
Apol10a	True	False
Apol10b	False	False
Apol11a	True	False
Apol11b	True	False
Apol7a	False	False
Apol7b	True	False
Apol7c	True	False
Apol7e	True	False
Apol8	False	False
Apol9a	False	True
Apom	False	True
Apoo	True	False
Apool	False	False
App	False	False
Appbp2	False	False
Appl1	False	False
Appl2	False	False
Aprt	False	False
Aptx	False	False
Aqp1	True	True
Aqp11	False	False
Aqp12	False	True
Aqp2	True	False
Aqp3	True	True
Aqp4	False	True
Aqp5	True	False
Aqp6	False	True
Aqp7	False	True
Aqp8	True	False
Aqp9	False	False
Aqr	False	False
Ar	False	True
Araf	False	False
Arap1	False	False
Arap2	False	True
Arap3	False	False
Arc	True	False
Arcn1	False	True
Areg	True	False
Arel1	False	False
Arf1	False	False
Arf2	False	False
Arf3	False	False
Arf4	False	True
Arf5	False	False
Arf6	False	True
Arfgap1	False	False
Arfgap2	False	False
Arfgap3	False	False
Arfgef1	False	False
Arfgef2	False	False
Arfgef3	False	False
Arfip1	False	False
Arfip2	False	True
Arfrp1	False	False
Arg1	True	True
Arg2	False	True
Arglu1	False	True
Arhgap1	False	True
Arhgap10	False	False
Arhgap11a	False	False
Arhgap12	False	True
Arhgap15	False	False
Arhgap17	False	True
Arhgap18	False	True
Arhgap19	False	True
Arhgap20	False	True
Arhgap21	False	False
Arhgap22	False	False
Arhgap23	False	False
Arhgap24	True	False
Arhgap25	False	True
Arhgap26	False	False
Arhgap27	False	False
Arhgap28	False	False
Arhgap29	False	False
Arhgap30	False	True
Arhgap31	False	True
Arhgap32	False	True
Arhgap33	False	False
Arhgap35	False	False
Arhgap36	False	False
Arhgap39	False	True
Arhgap4	False	True
Arhgap40	False	True
Arhgap42	False	True
Arhgap44	False	False
Arhgap45	False	False
Arhgap5	False	False
Arhgap6	False	False
Arhgap8	False	False
Arhgap9	True	True
Arhgdia	False	False
Arhgdib	False	True
Arhgdig	False	False
Arhgef1	False	True
Arhgef10	False	False
Arhgef10l	False	True
Arhgef11	False	False
Arhgef12	False	False
Arhgef15	False	True
Arhgef16	False	False
Arhgef18	False	False
Arhgef19	False	False
Arhgef2	False	True
Arhgef25	False	True
Arhgef28	False	False
Arhgef3	False	True
Arhgef33	False	False
Arhgef37	False	True
Arhgef38	False	False
Arhgef39	False	False
Arhgef4	False	True
Arhgef40	False	False
Arhgef5	False	False
Arhgef6	True	False
Arhgef7	False	False
Arhgef9	False	False
Arid1a	False	True
Arid1b	False	False
Arid2	False	False
Arid3a	True	False
Arid3b	False	False
Arid3c	False	True
Arid4a	False	False
Arid4b	False	True
Arid5a	False	True
Arid5b	False	True
Arih1	False	False
Arih2	False	True
Arl1	False	False
Arl10	False	True
Arl11	False	False
Arl13a	False	True
Arl13b	False	False
Arl14	False	False
Arl14ep	False	False
Arl15	False	False
Arl16	False	False
Arl2	False	False
Arl2bp	False	False
Arl3	False	True
Arl4a	False	False
Arl4c	False	False
Arl4d	True	False
Arl5a	False	False
Arl5b	False	True
Arl5c	False	True
Arl6	False	False
Arl6ip1	True	False
Arl6ip4	False	False
Arl6ip5	False	False
Arl6ip6	False	False
Arl8a	False	False
Arl8b	False	False
Armc1	False	True
Armc10	False	False
Armc12	False	False
Armc2	False	False
Armc5	False	False
Armc6	False	True
Armc8	False	True
Armc9	False	False
Armcx1	False	False
Armcx2	False	False
Armcx3	False	False
Armcx6	False	False
Armh3	False	False
Armh4	False	False
Armt1	False	False
Arnt	False	False
Arnt2	False	True
Arntl	False	False
Arntl2	False	False
Arpc1a	False	False
Arpc1b	False	False
Arpc2	False	False
Arpc3	False	True
Arpc4	False	True
Arpc5	False	True
Arpc5l	False	False
Arpin	False	False
Arpp19	False	False
Arpp21	False	True
Arr3	True	True
Arrb1	False	True
Arrb2	False	False
Arrdc1	False	True
Arrdc3	False	False
Arrdc4	False	True
Arsa	False	False
Arsb	False	True
Arsg	False	False
Arsi	False	False
Arsj	False	False
Arsk	False	False
Art1	True	False
Art2b	False	False
Art3	False	True
Art4	False	True
Art5	False	True
Artn	False	True
Arv1	False	False
Arvcf	False	False
Arx	False	False
Arxes2	False	False
As3mt	False	False
Asah1	False	False
Asah2	False	False
Asap1	False	False
Asap2	False	False
Asap3	False	False
Asb1	False	False
Asb10	False	False
Asb11	False	False
Asb12	True	False
Asb13	False	True
Asb14	True	False
Asb15	True	False
Asb16	False	False
Asb17	False	False
Asb18	False	False
Asb2	False	False
Asb3	False	False
Asb4	False	False
Asb5	True	False
Asb6	False	False
Asb7	False	True
Asb8	False	False
Asb9	False	True
Ascc1	False	True
Ascc2	False	False
Ascc3	False	True
Ascl1	False	True
Ascl2	False	False
Ascl3	True	False
Asf1a	False	False
Asf1b	False	True
Asgr1	False	False
Asgr2	False	False
Ash1l	False	True
Ash2l	False	True
Asic1	False	False
Asic2	False	False
Asic3	False	False
Asic4	False	False
Asic5	False	False
Asl	False	True
Asmt	False	False
Asns	False	False
Aspa	True	True
Aspdh	False	True
Aspg	False	False
Asph	False	False
Asphd1	False	True
Asphd2	False	False
Aspm	False	False
Aspn	False	True
Asprv1	False	True
Aspscr1	False	False
Asrgl1	False	True
Ass1	True	False
Astl	False	False
Astn1	False	False
Astn2	False	False
Asxl1	False	False
Asxl2	False	True
Asxl3	False	False
Asz1	False	False
Atad1	False	False
Atad2	False	True
Atad2b	False	True
Atad3a	False	False
Atad5	False	False
Atat1	False	False
Atcay	False	False
Ate1	False	False
Atf1	False	True
Atf2	False	False
Atf3	True	False
Atf4	False	True
Atf5	True	True
Atf6	False	False
Atf6b	False	False
Atf7	False	False
Atf7ip	False	False
Atg10	False	False
Atg101	False	False
Atg12	False	False
Atg13	False	False
Atg14	False	True
Atg16l1	False	False
Atg16l2	False	False
Atg2a	False	False
Atg2b	False	False
Atg3	False	False
Atg4a	False	False
Atg4b	False	False
Atg4c	False	False
Atg4d	False	False
Atg5	False	True
Atg7	False	False
Atg9a	False	True
Atg9b	False	False
Atic	False	False
Atl1	False	False
Atl2	False	False
Atl3	False	False
Atm	True	False
Atmin	False	True
Atn1	False	False
Atoh1	True	False
Atoh7	False	False
Atoh8	True	False
Atox1	False	False
Atp10a	False	False
Atp10b	True	True
Atp11a	False	True
Atp11b	False	True
Atp11c	False	True
Atp12a	True	True
Atp13a1	False	True
Atp13a2	False	True
Atp13a3	False	False
Atp13a4	False	True
Atp13a5	True	False
Atp1a1	False	False
Atp1a2	True	False
Atp1a3	True	True
Atp1a4	False	True
Atp1b1	True	True
Atp1b2	False	False
Atp1b3	False	True
Atp1b4	False	True
Atp23	False	False
Atp2a1	False	False
Atp2a2	True	False
Atp2a3	False	False
Atp2b1	False	False
Atp2b2	False	False
Atp2b3	False	False
Atp2b4	False	False
Atp2c1	False	True
Atp2c2	False	False
Atp4a	False	False
Atp4b	False	True
Atp5a1	False	False
Atp5b	False	True
Atp5c1	False	False
Atp5d	False	False
Atp5e	False	False
Atp5g1	False	True
Atp5g2	False	False
Atp5g3	True	True
Atp5h	False	False
Atp5j	False	False
Atp5j2	False	False
Atp5k	False	False
Atp5l	False	True
Atp5md	False	False
Atp5mpl	False	False
Atp5o	False	False
Atp5pb	False	False
Atp6ap1	False	True
Atp6ap2	False	False
Atp6v0a1	False	False
Atp6v0a2	False	False
Atp6v0a4	False	True
Atp6v0b	False	True
Atp6v0c	True	False
Atp6v0d1	False	False
Atp6v0d2	False	True
Atp6v0e	False	True
Atp6v0e2	False	False
Atp6v1a	False	True
Atp6v1b1	False	False
Atp6v1b2	True	False
Atp6v1c1	False	False
Atp6v1c2	True	False
Atp6v1d	False	False
Atp6v1e1	True	False
Atp6v1e2	False	True
Atp6v1f	False	True
Atp6v1g1	False	False
Atp6v1g2	False	False
Atp6v1g3	True	False
Atp6v1h	False	False
Atp7a	False	False
Atp7b	False	False
Atp8a1	False	True
Atp8a2	False	True
Atp8b1	False	False
Atp8b2	False	False
Atp8b3	False	True
Atp8b4	False	True
Atp8b5	False	False
Atp9a	False	False
Atp9b	False	False
Atpaf1	False	False
Atpaf2	False	False
Atpif1	False	False
Atpsckmt	False	False
Atr	False	False
Atraid	False	False
Atrip	False	False
Atrn	False	False
Atrnl1	False	False
Atrx	False	False
Atxn1	False	True
Atxn10	False	True
Atxn1l	False	False
Atxn2	False	True
Atxn2l	False	False
Atxn3	False	True
Atxn7	False	False
Atxn7l3	False	False
Atxn7l3b	False	True
AU021092	True	False
AU022252	False	False
AU040320	False	False
Auh	False	False
Aunip	False	False
Aup1	False	False
Aurka	True	False
Aurkaip1	False	False
Aurkb	False	False
Aurkc	False	True
Auts2	False	False
Aven	False	False
Avil	True	True
Avl9	False	False
Avp	True	True
Avpi1	False	False
Avpr1a	False	False
Avpr1b	True	False
Avpr2	False	True
AW551984	False	False
Awat1	False	False
Awat2	False	False
Axin1	False	False
Axin2	False	True
Axl	False	True
AY761185	True	False
Azgp1	False	True
Azi2	True	False
Azin1	True	True
Azin2	False	False
B2m	True	True
B3galnt1	False	False
B3galnt2	False	False
B3galt1	False	False
B3galt2	False	True
B3galt4	False	False
B3galt5	False	False
B3galt6	False	False
B3gat1	False	True
B3gat2	False	False
B3gat3	False	True
B3glct	False	False
B3gnt2	False	False
B3gnt3	False	True
B3gnt4	False	False
