File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF450BHA	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR801JWB	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/HOMEZ-human/				HOMEZ-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF174OKT/, /files/ENCFF045CPH/, /files/ENCFF013FEH/, /files/ENCFF356LFX/	40366	ENCODE Processing Pipeline	53a9b0413c3049948b98d4ab8465d24b		https://www.encodeproject.org/files/ENCFF450BHA/@@download/ENCFF450BHA.bed.gz				released	s3://encode-public/2020/07/03/a07a6382-2cc8-46fa-bb17-740ba3a93c2e/ENCFF450BHA.bed.gz	moderate library complexity, mild to moderate bottlenecking		
ENCFF688HIL	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR801JWB	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/HOMEZ-human/				HOMEZ-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	2	2_1							/files/ENCFF013FEH/, /files/ENCFF174OKT/	2102810	ENCODE Processing Pipeline	29a67c105499fcd3fe304a8deecfdfe7		https://www.encodeproject.org/files/ENCFF688HIL/@@download/ENCFF688HIL.bed.gz				released	s3://encode-public/2020/07/03/6f01e100-6f41-4969-8961-a60b43e6b6eb/ENCFF688HIL.bed.gz	moderate library complexity, mild to moderate bottlenecking		
ENCFF525QGV	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR801JWB	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/HOMEZ-human/				HOMEZ-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF045CPH/, /files/ENCFF013FEH/, /files/ENCFF174OKT/	3114460	ENCODE Processing Pipeline	e703a48fc9fb806a27f035e236479d66		https://www.encodeproject.org/files/ENCFF525QGV/@@download/ENCFF525QGV.bed.gz				released	s3://encode-public/2020/07/03/4b006e8c-19f5-41af-ae1f-8a48e1ff252b/ENCFF525QGV.bed.gz	moderate library complexity, mild to moderate bottlenecking		
ENCFF923WED	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR764OXF	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										RBM39-human	DNA			SDS	formaldehyde		2018-01-22	ENCODE			200-400	1	1_1							/files/ENCFF308PSW/, /files/ENCFF063CFN/	5635716	ENCODE Processing Pipeline	d08a94c262817cbc7ab0ec4091a00d5e		https://www.encodeproject.org/files/ENCFF923WED/@@download/ENCFF923WED.bed.gz				released	s3://encode-public/2017/02/11/1a22d7df-862b-4c8a-8807-dc7cc7a682a9/ENCFF923WED.bed.gz	low read depth, low read length		
ENCFF638AEI	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR764OXF	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										RBM39-human	DNA			SDS	formaldehyde		2018-01-22	ENCODE			200-400	2	2_1							/files/ENCFF218QBY/, /files/ENCFF198JCQ/	5305283	ENCODE Processing Pipeline	be15f83c7bc906b1933b29a3d39ea0b9		https://www.encodeproject.org/files/ENCFF638AEI/@@download/ENCFF638AEI.bed.gz				released	s3://encode-public/2017/02/11/349d869d-254c-47cb-9ab2-93f13a63baaa/ENCFF638AEI.bed.gz	low read depth, low read length		
ENCFF503DIK	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR764OXF	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										RBM39-human	DNA			SDS	formaldehyde		2018-01-22	ENCODE			200-400	1, 2	1_1, 2_1							/files/ENCFF638AEI/, /files/ENCFF923WED/, /files/ENCFF419RSJ/, /files/ENCFF471VAC/	58149	ENCODE Processing Pipeline	b2a60c137734255b7be0d029f2330a7d		https://www.encodeproject.org/files/ENCFF503DIK/@@download/ENCFF503DIK.bed.gz				released	s3://encode-public/2017/02/11/dfccd9da-f4af-403f-800f-a50f518d5dba/ENCFF503DIK.bed.gz	low read depth, low read length		
ENCFF055YKX	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR764OXF	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										RBM39-human	DNA			SDS	formaldehyde		2018-01-22	ENCODE			200-400	1, 2	1_1, 2_1							/files/ENCFF638AEI/, /files/ENCFF923WED/, /files/ENCFF419RSJ/, /files/ENCFF471VAC/	47992	ENCODE Processing Pipeline	e5c4d13e4b0609dcb707f63ee76c6c53		https://www.encodeproject.org/files/ENCFF055YKX/@@download/ENCFF055YKX.bed.gz				released	s3://encode-public/2017/02/11/5075a585-fe64-42dd-84d0-9e66711dd42c/ENCFF055YKX.bed.gz	low read depth, low read length		
ENCFF471VAC	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR764OXF	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										RBM39-human	DNA			SDS	formaldehyde		2018-01-22	ENCODE			200-400	1, 2	1_1, 2_1							/files/ENCFF308PSW/, /files/ENCFF063CFN/, /files/ENCFF218QBY/, /files/ENCFF198JCQ/	6829700	ENCODE Processing Pipeline	6cdbfa814736ce2b1a57602102519b70		https://www.encodeproject.org/files/ENCFF471VAC/@@download/ENCFF471VAC.bed.gz				released	s3://encode-public/2017/02/11/32ca6e99-26a1-4899-8b60-8ee45badf614/ENCFF471VAC.bed.gz	low read depth, low read length		
ENCFF840EKC	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR775EQV	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF583-human/				ZNF583-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1	1_1							/files/ENCFF043JBP/, /files/ENCFF174OKT/	3134888	ENCODE Processing Pipeline	ee7bd5c2c2e28bda0f2d5e80c654d23c		https://www.encodeproject.org/files/ENCFF840EKC/@@download/ENCFF840EKC.bed.gz				released	s3://encode-public/2020/07/03/7acd7640-9098-4ef6-9aef-f81060a70422/ENCFF840EKC.bed.gz			
ENCFF627DBI	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR775EQV	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF583-human/				ZNF583-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF043JBP/, /files/ENCFF174OKT/, /files/ENCFF838GRU/	4796654	ENCODE Processing Pipeline	5945fbf0e0d249238adcf314bcd6907a		https://www.encodeproject.org/files/ENCFF627DBI/@@download/ENCFF627DBI.bed.gz				released	s3://encode-public/2020/07/03/24af42d1-cff6-4837-b809-b8fccd976b7c/ENCFF627DBI.bed.gz			
ENCFF053ABJ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR775EQV	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF583-human/				ZNF583-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF043JBP/, /files/ENCFF356LFX/, /files/ENCFF174OKT/, /files/ENCFF838GRU/	182442	ENCODE Processing Pipeline	4e832bde69bfdc64bd28d426dbc23f46		https://www.encodeproject.org/files/ENCFF053ABJ/@@download/ENCFF053ABJ.bed.gz				released	s3://encode-public/2020/07/03/62d5a6b7-7a91-4f47-b515-86c66b928775/ENCFF053ABJ.bed.gz			
ENCFF173GSI	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR775EQV	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF583-human/				ZNF583-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	2	2_1							/files/ENCFF174OKT/, /files/ENCFF838GRU/	3725455	ENCODE Processing Pipeline	55dce58b047dfe2a98a4f5218c25490e		https://www.encodeproject.org/files/ENCFF173GSI/@@download/ENCFF173GSI.bed.gz				released	s3://encode-public/2020/07/03/1205e9de-5fe6-4e2c-aaf7-d8f1de6bd6d9/ENCFF173GSI.bed.gz			
ENCFF977POQ	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR775EQV	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF583-human/				ZNF583-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF043JBP/, /files/ENCFF356LFX/, /files/ENCFF174OKT/, /files/ENCFF838GRU/	162429	ENCODE Processing Pipeline	324edcee966b1da96457cad162087cbc		https://www.encodeproject.org/files/ENCFF977POQ/@@download/ENCFF977POQ.bed.gz				released	s3://encode-public/2020/07/03/a2657bf0-c87e-4a2b-87c4-c9167ae5a06e/ENCFF977POQ.bed.gz			
ENCFF962JKI	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR775EQV	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF583-human/				ZNF583-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1	1_1							/files/ENCFF043JBP/, /files/ENCFF356LFX/, /files/ENCFF174OKT/	85709	ENCODE Processing Pipeline	279313585733fc730b104af8cab6ae5a		https://www.encodeproject.org/files/ENCFF962JKI/@@download/ENCFF962JKI.bed.gz				released	s3://encode-public/2020/07/03/fdc4799a-78d2-4c9d-a708-b00185178c52/ENCFF962JKI.bed.gz			
ENCFF193IOH	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR775EQV	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF583-human/				ZNF583-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	2	2_1							/files/ENCFF356LFX/, /files/ENCFF174OKT/, /files/ENCFF838GRU/	91584	ENCODE Processing Pipeline	ae8c58f8c791dcc194cb21367bdfbb86		https://www.encodeproject.org/files/ENCFF193IOH/@@download/ENCFF193IOH.bed.gz				released	s3://encode-public/2020/07/03/c36b3904-9086-4ab5-b743-56fe3b0056f2/ENCFF193IOH.bed.gz			
ENCFF097MDZ	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR775EQV	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF583-human/				ZNF583-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF043JBP/, /files/ENCFF174OKT/, /files/ENCFF838GRU/	4610529	ENCODE Processing Pipeline	c7df50015fcd6ca9ef558a019c2fa036		https://www.encodeproject.org/files/ENCFF097MDZ/@@download/ENCFF097MDZ.bed.gz				released	s3://encode-public/2020/07/03/a1d3c4a7-45d4-41fb-8285-dbcc2ca4f66b/ENCFF097MDZ.bed.gz			
ENCFF260YEV	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR199HGP	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZKSCAN3-human/				ZKSCAN3-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF174OKT/, /files/ENCFF176YVA/, /files/ENCFF366EGE/	2548051	ENCODE Processing Pipeline	76d439834e92933af3fdd5fb762b5a9f		https://www.encodeproject.org/files/ENCFF260YEV/@@download/ENCFF260YEV.bed.gz				released	s3://encode-public/2020/07/01/f444afd3-b813-4326-92ec-e6caf65e604d/ENCFF260YEV.bed.gz			
ENCFF958DZY	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR199HGP	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZKSCAN3-human/				ZKSCAN3-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1	1_1							/files/ENCFF174OKT/, /files/ENCFF356LFX/, /files/ENCFF366EGE/	9220	ENCODE Processing Pipeline	46ac2791e5b3be797578c283048efe43		https://www.encodeproject.org/files/ENCFF958DZY/@@download/ENCFF958DZY.bed.gz				released	s3://encode-public/2020/07/01/d35bbe18-c4c7-45e2-be9b-f9c7f8da90d8/ENCFF958DZY.bed.gz			
ENCFF942IAK	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR199HGP	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZKSCAN3-human/				ZKSCAN3-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	2	2_1							/files/ENCFF174OKT/, /files/ENCFF176YVA/, /files/ENCFF356LFX/	15607	ENCODE Processing Pipeline	086731f19bcaee468a9266d099ede0da		https://www.encodeproject.org/files/ENCFF942IAK/@@download/ENCFF942IAK.bed.gz				released	s3://encode-public/2020/07/01/69369c18-2db3-454a-a239-ddafe51f681d/ENCFF942IAK.bed.gz			
ENCFF290PNY	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR199HGP	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZKSCAN3-human/				ZKSCAN3-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF174OKT/, /files/ENCFF176YVA/, /files/ENCFF366EGE/	2556499	ENCODE Processing Pipeline	d8a88b047c842aa916c747dceb72db1f		https://www.encodeproject.org/files/ENCFF290PNY/@@download/ENCFF290PNY.bed.gz				released	s3://encode-public/2020/07/01/f23ce948-5aff-474b-b993-4d3ab9630137/ENCFF290PNY.bed.gz			
ENCFF697DRN	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR199HGP	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZKSCAN3-human/				ZKSCAN3-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF174OKT/, /files/ENCFF176YVA/, /files/ENCFF366EGE/, /files/ENCFF356LFX/	20486	ENCODE Processing Pipeline	ccd7a2598bd32ced0b3a150d336a5ae8		https://www.encodeproject.org/files/ENCFF697DRN/@@download/ENCFF697DRN.bed.gz				released	s3://encode-public/2020/07/01/19c608ef-7a89-49a1-bbe3-374167aa1959/ENCFF697DRN.bed.gz			
ENCFF827WYU	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR199HGP	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZKSCAN3-human/				ZKSCAN3-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1	1_1							/files/ENCFF174OKT/, /files/ENCFF366EGE/	1724460	ENCODE Processing Pipeline	46306f48a67a3afd6c0baaa0ace10a34		https://www.encodeproject.org/files/ENCFF827WYU/@@download/ENCFF827WYU.bed.gz				released	s3://encode-public/2020/07/01/ae487013-5809-43a9-8427-f0d0b623a10b/ENCFF827WYU.bed.gz			
ENCFF799QTU	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR199HGP	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZKSCAN3-human/				ZKSCAN3-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	2	2_1							/files/ENCFF174OKT/, /files/ENCFF176YVA/	1925540	ENCODE Processing Pipeline	071b08ab1b292c6cf3a6983949308e9b		https://www.encodeproject.org/files/ENCFF799QTU/@@download/ENCFF799QTU.bed.gz				released	s3://encode-public/2020/07/01/92e47f6f-98b3-43f4-a9f0-59beea5cb38e/ENCFF799QTU.bed.gz			
ENCFF490SXY	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR199HGP	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZKSCAN3-human/				ZKSCAN3-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF174OKT/, /files/ENCFF176YVA/, /files/ENCFF366EGE/, /files/ENCFF356LFX/	19053	ENCODE Processing Pipeline	eebe2753cb97e7b51f608598ed5744c1		https://www.encodeproject.org/files/ENCFF490SXY/@@download/ENCFF490SXY.bed.gz				released	s3://encode-public/2020/07/01/80ffc87f-e328-4876-979c-a6c111cbf949/ENCFF490SXY.bed.gz			
ENCFF615OOL	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR574VJG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/NFIX-human/				NFIX-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	2	2_1							/files/ENCFF834PHL/, /files/ENCFF174OKT/	1804657	ENCODE Processing Pipeline	07a7b7032db9f3d740c955c350b5d0af		https://www.encodeproject.org/files/ENCFF615OOL/@@download/ENCFF615OOL.bed.gz				released	s3://encode-public/2020/07/03/16fdd356-7a99-4ce4-b059-7022176b5ca8/ENCFF615OOL.bed.gz	moderate library complexity, low read depth, mild to moderate bottlenecking		
ENCFF979UFX	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR574VJG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/NFIX-human/				NFIX-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1	1_1							/files/ENCFF058ZKW/, /files/ENCFF174OKT/	1635184	ENCODE Processing Pipeline	84ab882ddaa8c64a469cb77e34247c9e		https://www.encodeproject.org/files/ENCFF979UFX/@@download/ENCFF979UFX.bed.gz				released	s3://encode-public/2020/07/03/1c3c37ab-575b-45da-843d-bde01fc14630/ENCFF979UFX.bed.gz	moderate library complexity, low read depth, mild to moderate bottlenecking		
